dis_no,name,admin_level,admin1,admin2,geom_type_a,geom_type_b,batch_number,area_calculation_method,area_a,area_b,intersection_area,union_area,a_in_b,b_in_a,jaccard,a_contains_b,b_contains_a,a_contains_b_properly,b_contains_a_properly
2006-0304-CHN,['Kangding'],['AdminAdmin3'],['Sichuan'],['Garze Tibetan'],gdis_gadm,GAUL,1,geodetic,11395813036.75312,147577811336.56787,11352846408.025663,147620777965.29532,0.9962296127017104,0.07692786812059582,0.07690547743011247,False,False,False,False
2006-0311-IDN,"['Bone', 'Bulukumba', 'Gowa', 'Jeneponto', 'Selayar', 'Sidenreng Rappang', 'Sinjai', 'Soppeng', 'Wajo', 'Bantaeng', 'Luwu Utara']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2']","['Sulawesi Selatan', 'Sulawesi Selatan', 'Sulawesi Selatan', 'Sulawesi Selatan', 'Sulawesi Selatan', 'Sulawesi Selatan', 'Sulawesi Selatan', 'Sulawesi Selatan', 'Sulawesi Selatan', 'Sulawesi Selatan', 'Sulawesi Selatan']","['Bone', 'Bulukumba', 'Gowa', 'Jeneponto', 'Selayar', 'Sidenreng Rappang', 'Sinjai', 'Soppeng', 'Wajo', 'Bantaeng', 'Luwu Utara']",gdis_gadm,GAUL,1,geodetic,23861301130.12445,23809722959.53032,23108008048.02146,24563016041.63331,0.9684303434253226,0.9705282202274436,0.9407642778417086,False,False,False,False
2006-0332-IDN,"['Tanah Bumbu', 'Tanah Laut', 'Kota Baru']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2']","['Kalimantan Selatan', 'Kalimantan Selatan', 'Kalimantan Selatan']","['Tanah Bumbu', 'Tanah Laut', 'Kota Baru']",gdis_gadm,GAUL,1,geodetic,17791927493.76621,18250313585.07925,17421371994.985077,18620869083.860382,0.9791728299864664,0.9545793234603989,0.9355831844650598,False,False,False,False
2006-0337-CHN,"['Xiao', 'Fengyang', 'Henan', 'Jiangsu', ""Xi'an""]","['AdminAdmin3', 'AdminAdmin3', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin2']","['Anhui', 'Anhui', 'Henan', 'Jiangsu', 'Shaanxi']","['Suzhou', 'Chuzhou', None, None, ""Xi'an""]",gdis_gadm,GAUL,1,geodetic,281276687587.52014,147946205781.22406,0.0,429222893368.7442,0.0,0.0,0.0,False,False,False,False
2006-0342-IND,"['Ballia', 'Chandauli']","['AdminAdmin2', 'AdminAdmin2']","['Uttar Pradesh', 'Uttar Pradesh']","['Ballia', 'Chandauli']",gdis_gadm,GAUL,1,geodetic,5553334423.512474,5543507869.876446,5454413543.45496,5642428749.93396,0.9821871199330822,0.9839281681359873,0.9666783197783045,False,False,False,False
2006-0344-USA,"['Crawford', 'Erie', 'Huron', 'Lucas']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2']","['Ohio', 'Ohio', 'Ohio', 'Ohio']","['Crawford', 'Erie', 'Huron', 'Lucas']",gdis_gadm,GAUL,1,geodetic,7613499874.692885,4952092984.752741,0.0,12565592859.445625,0.0,0.0,0.0,False,False,False,False
2006-0369-IND,"['Navsari', 'The Dangs']","['AdminAdmin2', 'AdminAdmin2']","['Gujarat', 'Gujarat']","['Navsari', 'The Dangs']",gdis_gadm,GAUL,1,geodetic,3879629655.208033,3803165852.4516253,3765053230.8631706,3917742276.796488,0.9704671748265831,0.9899787116662593,0.9610262658578527,False,False,False,False
2006-0370-IND,"['Gajapati', 'Rayagada']","['AdminAdmin2', 'AdminAdmin2']","['Odisha', 'Odisha']","['Gajapati', 'Rayagada']",gdis_gadm,GAUL,1,geodetic,11479650539.272194,11449888777.693209,11356216624.992313,11573322691.973087,0.9892475895622772,0.9918189464963723,0.9812408179777661,False,False,False,False
2006-0372-IDN,"['Bantul', 'Banyumas', 'Ciamis', 'Cilacap', 'Garut', 'Gunung Kidul', 'Sukabumi', 'Tasikmalaya', 'Kebumen']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2']","['Yogyakarta', 'Jawa Tengah', 'Jawa Barat', 'Jawa Tengah', 'Jawa Barat', 'Yogyakarta', 'Jawa Barat', 'Jawa Barat', 'Jawa Tengah']","['Bantul', 'Banyumas', 'Ciamis', 'Cilacap', 'Garut', 'Gunung Kidul', 'Sukabumi', 'Tasikmalaya', 'Kebumen']",gdis_gadm,GAUL,1,geodetic,19662996531.494247,19753165236.90083,19246222709.624283,20169939058.770798,0.97880415524651,0.9743361369584694,0.9542033148213781,False,False,False,False
2006-0405-TJK,"['Panj', 'Qumsangir']","['AdminAdmin2', 'AdminAdmin2']","['Khatlon', 'Khatlon']","['Panj', 'Qumsangir']",gdis_gadm,GAUL,1,geodetic,1496343843.991063,1144809533.9764378,563800720.5145413,2077352657.4529595,0.37678553814928417,0.4924842987254029,0.2714034704178812,False,False,False,False
2006-0414-PAK,"['Karachi', 'Punjab']","['AdminAdmin2', 'AdminAdmin1']","['Sind', 'Punjab']","['Karachi', None]",gdis_gadm,GAUL,1,geodetic,209251686347.88654,1222584236.3906446,1211588350.3927307,209262682233.88446,0.005790100770697889,0.9910060299563682,0.005789796524917841,False,False,False,False
2006-0416-AFG,"['Shekh Ali', 'Khost', 'Nangarhar', 'Omna', 'Paktya', 'Jaghuri']","['AdminAdmin2', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin2', 'AdminAdmin1', 'AdminAdmin2']","['Parwan', 'Khost', 'Nangarhar', 'Paktika', 'Paktya', 'Ghazni']","['Shekh Ali', None, None, 'Omna', None, 'Jaghuri']",gdis_gadm,GAUL,1,geodetic,21088766067.10858,11143054064.798378,8045471752.078538,24186348379.828423,0.38150509738105454,0.7220167563841137,0.33264516105244374,False,False,False,False
2006-0424-AFG,"['Omna', 'Khost', 'Paktya', 'Surkhi Parsa', 'Jaghuri', 'Sherzad']","['AdminAdmin2', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2']","['Paktika', 'Khost', 'Paktya', 'Parwan', 'Ghazni', 'Nangarhar']","['Omna', None, None, 'Surkhi Parsa', 'Jaghuri', 'Sherzad']",gdis_gadm,GAUL,1,geodetic,14287791618.508917,466258176.03385967,431584472.1957094,14322465322.347067,0.030206520623986384,0.9256341108415603,0.030133392714333646,False,False,False,False
2006-0451-KHM,"['Kampong Bay', 'Kampot', 'Kampong Seila', 'Mondol Kiri', 'Phnom Penh', 'Rotanokiri', 'Kampong Spa']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1']","['Kampot', 'Kampot', 'Kaoh Kong', 'Mondol Kiri', 'Phnom Penh', 'Rotanokiri', 'Kampong Spa']","['Kampong Bay', 'Kampot', 'Kampong Seila', None, None, None, None]",gdis_gadm,GAUL,1,geodetic,35322433522.72036,38409463391.14881,35006362830.05886,38725534083.81031,0.9910518426637227,0.9113994245003129,0.9039607498839817,False,False,False,False
2006-0469-IND,"['Barmer', 'Jaisalmer', 'Kota', 'Udaipur']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2']","['Rajasthan', 'Rajasthan', 'Rajasthan', 'Rajasthan']","['Barmer', 'Jaisalmer', 'Kota', 'Udaipur']",gdis_gadm,GAUL,1,geodetic,84381840889.92819,85258729454.67078,84103183107.7298,85537387236.86917,0.9966976569927896,0.9864465919873302,0.9832330145276966,False,False,False,False
2006-0473-NPL,"['Nawalparasi', 'Kailali', 'Bardiya', 'Banke', 'Tanahu', 'Achham', 'Makwanpur', 'Koshi']","['AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin2']","['West', 'Far-Western', 'Mid-Western', 'Mid-Western', 'West', 'Far-Western', 'Central', 'East']","['Lumbini', 'Seti', 'Bheri', 'Bheri', 'Gandaki', 'Seti', 'Narayani', 'Koshi']",gdis_gadm,GAUL,1,geodetic,24620310887.119633,62274949331.213905,24204640981.96664,62690619236.3669,0.9831167889366315,0.3886737964768542,0.3860966963925841,False,False,False,False
2006-0480-BDI,"['Kayogoro', 'Kibago']","['AdminAdmin2', 'AdminAdmin2']","['Makamba', 'Makamba']","['Kayogoro', 'Kibago']",gdis_gadm,GAUL,1,geodetic,715091311.8664708,714758715.0922426,696669552.1558774,733180474.8028362,0.9742385910653696,0.9746919309210091,0.9502019981413482,False,False,False,False
2006-0483-MEX,"['Comondu', 'La Paz']","['AdminAdmin2', 'AdminAdmin2']","['Baja California Sur', 'Baja California Sur']","['Comondu', 'La Paz']",gdis_gadm,GAUL,1,geodetic,38144161555.36052,36531225573.86117,36321526408.02593,38353860721.19575,0.9522171920153677,0.9942597281492445,0.9470109586113538,False,False,False,False
2006-0502-BGD,"['Jessore', 'Satkhira']","['AdminAdmin2', 'AdminAdmin2']","['Khulna', 'Khulna']","['Jessore', 'Satkhira']",gdis_gadm,GAUL,1,geodetic,5866205526.197897,9368585565.044165,5668240487.79518,9566550603.44688,0.9662533067553423,0.6050262815493066,0.5925061940040209,False,False,False,False
2006-0505-MEX,"['Concordia', 'El Rosario', 'Elota', 'Escuinapa', 'Salvador Alvarado', 'San Ignacio']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2']","['Sinaloa', 'Sinaloa', 'Sinaloa', 'Sinaloa', 'Sinaloa', 'Sinaloa']","['Concordia', 'El Rosario', 'Elota', 'Escuinapa', 'Salvador Alvarado', 'San Ignacio']",gdis_gadm,GAUL,1,geodetic,13556206230.750797,24865642020.809917,13284450178.017574,25137398073.54314,0.9799533845895045,0.5342492330139673,0.5284735571737365,False,False,False,False
2006-0510-BGD,"['Borgona', 'Patuakhali', 'Bagerhat', 'Chittagong']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin1']","['Barisal', 'Barisal', 'Khulna', 'Chittagong']","['Borgona', 'Patuakhali', 'Bagerhat', None]",gdis_gadm,GAUL,1,geodetic,37840674506.50588,10016930325.831211,8905093733.169823,38952511099.167274,0.23533126323207545,0.8890042601380351,0.22861411195028697,False,False,False,False
2006-0546-USA,"['Calloway', 'Franklin', 'Jessamine', 'Mercer', 'Randolph', 'Sharp', 'Douglas', 'Illinois', 'Indiana', 'Missouri', 'Montgomery', 'Obion']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin1', 'AdminAdmin2', 'AdminAdmin2']","['Kentucky', 'Kentucky', 'Kentucky', 'Kentucky', 'Arkansas', 'Arkansas', 'Oregon', 'Illinois', 'Indiana', 'Missouri', 'Texas', 'Tennessee']","['Calloway', 'Franklin', 'Jessamine', 'Mercer', 'Randolph', 'Sharp', 'Douglas', None, None, None, 'Montgomery', 'Obion']",gdis_gadm,GAUL,1,geodetic,437031578540.8374,432926647587.0372,424170197530.71014,445788028597.16437,0.9705710487716497,0.9797738251846311,0.9515064791343036,False,False,False,False
2006-0549-IND,"['Bahraich', 'Balrampur', 'Barabanki', 'Lakhimpur Kheri', 'Shravasti', 'Gonda']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2', 'AdminAdmin2']","['Uttar Pradesh', 'Uttar Pradesh', 'Uttar Pradesh', 'Uttar Pradesh', 'Uttar Pradesh', 'Uttar Pradesh']","['Bahraich', 'Balrampur', 'Barabanki', 'Lakhimpur Kheri', 'Shravasti', 'Gonda']",gdis_gadm,GAUL,1,geodetic,29261260715.83181,26363833831.909794,22807377883.9598,32817716663.781807,0.7794393449226835,0.8651009572194545,0.6949715032773871,False,False,False,False
2006-0560-GRC,"['Astypalaia', 'Leros', 'Crete']","['AdminAdmin3', 'AdminAdmin3', 'AdminAdmin1']","['Aegean', 'Aegean', 'Crete']","['South Aegean', 'South Aegean', None]",gdis_gadm,GAUL,1,geodetic,8624399694.392595,17330539366.131638,6588665753.338692,19366273307.18554,0.7639564476148415,0.3801766127495519,0.3402134034168605,False,False,False,False
2006-0563-PHL,"['Putik', 'Tetuan', 'Zamboanga Sibugay']","['AdminAdmin3', 'AdminAdmin3', 'AdminAdmin1']","['Zamboanga Del Sur', 'Zamboanga Del Sur', 'Zamboanga Sibugay']","['Zamboanga City', 'Zamboanga City', None]",gdis_gadm,GAUL,1,geodetic,2720281234.1278934,5152003191.414233,13755996.895257706,7858528428.646869,0.0050568289494037555,0.002670028799318671,0.0017504545564933842,False,False,False,False
2006-0573-FRA,"['Doubs', 'Vendee', 'Auvergne-Rhone-Alpes', 'Bretagne']","['AdminAdmin2', 'AdminAdmin2', 'AdminAdmin1', 'AdminAdmin1']","['Bourgogne-Franche-Comte', 'Pays De La Loire', 'Auvergne-Rhone-Alpes', 'Bretagne']","['Doubs', 'Vendee', None, None]",gdis_gadm,GAUL,1,geodetic,65831176282.252525,96376836798.26501,65083332405.063995,97124680675.45355,0.9886399739542533,0.6753005656462429,0.670100863677924,False,False,False,False
2006-0578-ETH,"['Denan', 'East Imi', 'Ferfer', 'Gode', 'Kelafo', 'Mustahil', 'Korahe']","['AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin3', 'AdminAdmin2']","['Somali', 'Somali', 'Somali', 'Somali', 'Somali', 'Somali', 'Somali']","['Shabelle', 'Shabelle', 'Shabelle', 'Shabelle', 'Shabelle', 'Shabelle', 'Korahe']",gdis_gadm,GAUL,1,geodetic,62146967092.56323,65361392281.38191,62017726930.53725,65490632443.4079,0.9979204107927987,0.9488434191173571,0.9469709577797759,False,False,False,False
